1,"A2LV5QYHH24OMY","I wasn't sure what size jumper I needed (i.e.","Range|Size"
2,"A312KFQ78WB3A4","i cant see right hand dresses as no facilety to srcoll right very anoying","Latency|Navigation"
3,"A2LV5QYHH24OMY","man  jinc","None"
4,"A2LV5QYHH24OMY","An app to show whether an item will be re-stocked after being sold out and possibly when would be fab!","Navigation|Stock"
5,"A2LV5QYHH24OMY","........okay","None"
6,"A2LV5QYHH24OMY","i like this site very much.","None"
7,"A312KFQ78WB3A4","DONT LIKE THE MOVING REAL PEOPLE AT THE TOP OF THE PAGE ITS ANNOYING","MoreFunc"
8,"A2LV5QYHH24OMY","when I select a certain size of shoe or clothing- items appear that are not in stock in that size.","Stock"
9,"A2LV5QYHH24OMY","your prices are higher clothing stores global","Price"
10,"A312KFQ78WB3A4","keep items in the shopping basket for next visit","MoreFunc"
11,"AVX3SWFMBEPMZ","Do better customer service!!!!!","MoreFunc"
12,"A15MK127K9F2DZ","its ok","None"
13,"A2LV5QYHH24OMY","don't feel the models you've chosen do the clothes justice","Images|Products"
14,"A2LV5QYHH24OMY","returns to store - the fact this option isn't available puts me off buying online.","Navigation"
15,"A2LV5QYHH24OMY","cheaper prices","Price"
16,"A2LV5QYHH24OMY","everything until now is ok.","None"
17,"A312KFQ78WB3A4","i like looking at the new styles and colours great way to buy x","Images"
18,"A312KFQ78WB3A4","Price","Price"
19,"A312KFQ78WB3A4","Hi yes for some reason the reviews don't appear ???","Latency"
20,"A312KFQ78WB3A4","opening hours","MoreFunc"
21,"A3E157ZN8XPUKJ","I love everything about the site.","None"
22,"A312KFQ78WB3A4","cloyhes arnt as nice as they used to be","Products"
23,"A2LV5QYHH24OMY","checkout hanging and unsure whether payment gone through or not...b","Navigation"
24,"A312KFQ78WB3A4","site is brilliant no need to improve","None"
25,"A312KFQ78WB3A4","Make things cheaper i can't afford anything","Price"
26,"A312KFQ78WB3A4","make it look more colourful and lively instead of dull","Navigation"
27,"A312KFQ78WB3A4","lkjlkj","None"
28,"A2LV5QYHH24OMY","mail to the usa please","Delivery"
